Time,Coupling_Strength,Phase_Locking_Ratio,Energy_Synchronization
35.83583583583584,0.179,0.9999707036303627,0.7641860848600626
35.93593593593594,0.1795,0.9999646254990515,0.7765611890627991
36.03603603603604,0.18,0.9999606123625258,0.7899113173987258
36.13613613613614,0.1805,0.9999583094955519,0.8031794253577998
36.23623623623624,0.181,0.9999059015845819,0.8139207952854371
36.33633633633634,0.1815,0.9999070190187308,0.8244077152651337
36.43643643643644,0.182,0.9999292226979425,0.8367278564142098
36.53653653653654,0.1825,0.9999270642044357,0.8472923936399664
36.63663663663664,0.183,0.9998128090044758,0.8566602906007054
36.73673673673674,0.1835,0.9998522610544501,0.8667736498228867
36.83683683683684,0.184,0.999729479705203,0.8752724798214987
36.93693693693694,0.1845,0.9998728456874656,0.8837645202188434
37.03703703703704,0.185,0.999482910938476,0.8913746895325031
37.13713713713714,0.1855,0.9998297172413507,0.8992886535790392
37.23723723723724,0.186,0.9998993144866349,0.906528757905916
37.33733733733734,0.1865,0.9597048999428446,0.9125369826360475
37.43743743743744,0.187,0.9584832152001662,0.9189745750691088
37.53753753753754,0.1875,0.9598456758326895,0.9249604832159304
37.63763763763764,0.188,0.9596262199607629,0.9319265019676014
37.73773773773774,0.1885,0.9998150527490456,0.9381301344257454
37.83783783783784,0.189,0.9997454765854832,0.9451322593521224
37.93793793793794,0.1895,0.9998480039180637,0.9519417030023916
38.03803803803804,0.19,0.999640350266689,0.9596601180814253
38.13813813813814,0.1905,0.9997446875974575,0.9681219856000362
38.23823823823824,0.191,0.9996543588103884,0.9771597119556531
38.33833833833834,0.1915,0.9997759560446261,0.9878592993080684
38.43843843843844,0.192,0.9998633480212002,0.9988228789174974
38.53853853853854,0.1925,0.9997232893209729,1.0107589864727806
38.63863863863864,0.193,0.99966284734211,1.022867677181895
38.73873873873874,0.1935,0.9997157384747285,1.0353575521848228
38.83883883883884,0.194,0.9991315579516936,1.0471043784171428
38.93893893893894,0.1945,0.9993618838378463,1.0596021836943745
39.03903903903904,0.195,0.9995614993337092,1.0729980942787969
39.13913913913914,0.1955,0.9993685793274314,1.085989457306607
39.23923923923924,0.196,0.9995387226882378,1.0965796599594166
39.33933933933934,0.1965,0.9981823458529894,1.1079554294895573
39.43943943943944,0.197,0.9989626476763559,1.11380777120084
39.53953953953954,0.1975,0.998529187585369,1.1185726070204571
39.63963963963964,0.198,0.9991013389763264,1.1217623227563298
39.73973973973974,0.1985,0.9961430492624335,1.1238506685382619
39.83983983983984,0.199,0.9968559313181431,1.122281848188602
39.93993993993994,0.1995,0.9977791219360799,1.11982280725447
40.04004004004004,0.2,0.9971061134575397,1.1155442355532377
40.14014014014014,0.2005,0.9887338731441884,1.1111453347835927
40.24024024024024,0.201,0.9984715193534105,1.1050899365002194
40.34034034034034,0.2015,0.9950808925798548,1.0991496615678067
40.44044044044044,0.202,0.995301960633598,1.0923843686096004
40.54054054054054,0.2025,0.992645980692612,1.086032110657967
40.64064064064064,0.203,0.9902167948663221,1.079551583820561
40.74074074074074,0.2035,0.9931769961263974,1.0732897419847942
40.84084084084084,0.204,0.9867614884784482,1.067281017964051
40.94094094094094,0.2045,0.9104354796920202,1.0613130381156093
41.04104104104104,0.205,0.9902022176567078,1.0556506321464987
41.14114114114114,0.2055,0.9606708171329329,1.0495929013843381
41.24124124124124,0.206,0.937812718296922,1.0444240959834061
41.34134134134134,0.2065,0.958364895357575,1.0396777116888622
41.44144144144144,0.207,0.8857624598467754,1.03473249935252
41.54154154154154,0.2075,0.97722320999416,1.0301637636969196
41.64164164164164,0.208,0.969458334427366,1.0259559668498788
41.74174174174174,0.2085,0.9423597422289997,1.0216350542230457
41.84184184184184,0.209,0.9848632009982468,1.0176708217270387
41.94194194194194,0.2095,0.9758386386147826,1.0139108908747707
42.04204204204204,0.21,0.9703140904064458,1.0104580314564577
42.14214214214214,0.2105,0.9422229236321042,1.0069404512913445
42.24224224224224,0.211,0.9377226738056365,1.0037671329210345
42.34234234234234,0.2115,0.9673034279284964,1.0009045616471142
42.44244244244244,0.212,0.9776923621517517,0.9978453399826234
42.54254254254254,0.2125,0.9804155688700559,0.9949517480959067
42.64264264264264,0.213,0.9802414040688696,0.9922780680888684
42.74274274274275,0.2135,0.9844969338389873,0.9898905820412933
42.84284284284285,0.214,0.9821127500292451,0.9874866235649347
42.94294294294295,0.2145,0.9768668329415751,0.9848845104966073
43.04304304304305,0.215,0.9374834224685077,0.9828101121986562
43.14314314314315,0.2155,0.9526032903506689,0.9809076112821499
43.24324324324325,0.216,0.8731474377613152,0.9792472387065003
43.34334334334335,0.2165,0.8267392112037263,0.9776208076296071
43.44344344344345,0.217,0.8855855819302877,0.9757242718030702
43.54354354354355,0.2175,0.9407143671725506,0.9739685242169969
43.64364364364365,0.218,0.9808160791988128,0.9724824025158463
43.74374374374375,0.2185,0.976238409109039,0.9707938477969266
43.84384384384385,0.219,0.9857681722200066,0.9694396019037642
43.94394394394395,0.2195,0.9453728773486278,0.96757685360288
44.04404404404405,0.22,0.9830958741950034,0.9657881918348994
44.14414414414415,0.2205,0.9827124500062695,0.9641872362109484
44.24424424424425,0.221,0.9746454517561993,0.9622681253725134
44.34434434434435,0.2215,0.9840327528654932,0.9608833876687679
44.44444444444445,0.222,0.9955937168324634,0.9596438074771454
44.54454454454455,0.2225,0.9559103375455319,0.9578455001998154
44.64464464464465,0.223,0.9955595719954704,0.9561680719183295
44.74474474474475,0.2235,0.9963898964480837,0.9551012443523484
44.84484484484485,0.224,0.9976458261811662,0.9539706099745251
44.94494494494495,0.2245,0.9930235215930736,0.9531668417585181
45.04504504504505,0.225,0.9990484614191899,0.9528225258036549
45.14514514514515,0.2255,0.9991172722870992,0.9515017473590698
45.24524524524525,0.226,0.9863341540540423,0.9496851602590652
45.34534534534535,0.2265,0.9994612755843731,0.9501373411534408
45.44544544544545,0.227,0.9993867561519199,0.949626567434772
45.54554554554555,0.2275,0.9984888377809767,0.9505119823280944
45.64564564564565,0.228,0.9996919517684693,0.9520085684777341
45.74574574574575,0.2285,0.9995233116895438,0.954260674499289
